City,Longitude,Latitude,Temperature,Humidity,Wind Speed,Cloud Coverage,Country,Date
port-aux-francais,70.2167,-49.35,6.53,87,16.05,99,TF,1689686393
talnakh,88.3972,69.4865,12.87,86,5.86,100,RU,1689686343
bodaybo,114.1933,57.8506,14.63,74,1.2,100,RU,1689686394
chonchi,-73.8092,-42.6128,2.29,83,1.57,100,CL,1689686394
markala,-6.0659,13.7021,36.04,34,2.92,93,ML,1689686395
hasaki,140.8333,35.7333,24.22,84,3.66,100,JP,1689686396
laguna,-121.4238,38.421,18.6,69,3.09,0,US,1689686396
bredasdorp,20.0403,-34.5322,14.83,81,9.22,97,ZA,1689686397
grytviken,-36.5092,-54.2811,-4.93,79,2.91,16,GS,1689686398
udachny,112.4,66.4167,16.07,59,6.24,100,RU,1689686398
stanley,-1.6985,54.868,14.32,90,2.06,75,GB,1689686399
san patricio,-97.5169,28.017,27.26,85,3.88,22,US,1689686399
st. john's,-52.7093,47.5649,23.91,87,7.72,100,CA,1689686309
puerto deseado,-65.8938,-47.7503,0.94,79,5.4,14,AR,1689686400
puerto natales,-72.4875,-51.7236,-5.75,86,2.06,40,CL,1689686401
avarua,-159.775,-21.2078,20.03,100,2.06,75,CK,1689686401
makrana,74.7167,27.05,33.2,54,2.55,100,IN,1689686402
college,-147.8028,64.8569,15.94,83,2.57,75,US,1689686402
nuuk,-51.7216,64.1835,8.34,100,0.51,75,GL,1689686403
santa elena de uairen,-61.1333,4.6167,22.64,75,1.61,84,VE,1689686403
west island,96.8225,-12.1568,24.99,83,7.72,100,CC,1689686404
vorgashor,63.95,67.5833,20.47,67,4.44,93,RU,1689686404
kodiak,-152.4072,57.79,11.73,94,4.12,100,US,1689686405
waitangi,-176.5597,-43.9535,9.9,86,1.34,100,NZ,1689686405
kangiwa,3.8187,12.5521,36.51,34,2.36,33,NG,1689686406
chernyshevskiy,112.4714,63.0128,13.36,61,2.21,79,RU,1689686406
greymouth,171.2,-42.4667,9.36,93,1.92,100,NZ,1689686407
sitka,-135.33,57.0531,13.94,82,0.0,75,US,1689686407
port lincoln,135.8667,-34.7333,11.43,70,4.59,10,AU,1689686408
garbahaarrey,42.2209,3.3289,33.26,30,9.36,92,SO,1689686408
badger,-147.5333,64.8,15.87,84,2.57,100,US,1689686409
edinburgh of the seven seas,-12.3116,-37.0676,14.11,85,12.9,100,SH,1689686353
palmer,-72.3287,42.1584,24.43,80,2.57,75,US,1689686410
albany,-73.9662,42.6001,22.89,83,1.03,79,US,1689686410
longyearbyen,15.6401,78.2186,10.91,54,1.54,40,SJ,1689686338
castillos,-53.8333,-34.1667,7.56,70,2.96,99,UY,1689686411
korgan,37.3467,40.8247,20.4,64,3.73,4,TR,1689686412
kudymkar,54.656,59.0173,19.54,80,3.46,100,RU,1689686412
carnarvon,113.6333,-24.8667,18.97,76,4.58,0,AU,1689686413
'ain el bell,3.2247,34.3438,37.69,7,4.92,3,DZ,1689686413
faya-largeau,19.1043,17.9257,43.22,8,0.95,74,TD,1689686414
igarka,86.5833,67.4667,18.03,60,6.22,100,RU,1689686414
les anglais,-74.2197,18.3054,28.69,71,4.75,100,HT,1689686415
kurkino,38.6582,53.4257,26.75,58,6.85,99,RU,1689686415
whitehorse,-135.0538,60.7161,12.41,82,2.06,75,CA,1689686416
utrik,169.8474,11.2278,28.03,77,6.33,36,MH,1689686416
saipan,145.701,15.1355,28.14,100,3.09,40,MP,1689686417
colonia,6.95,50.9333,26.04,40,2.06,0,DE,1689686241
vadso,29.7487,70.0744,17.09,82,4.63,40,NO,1689686418
sharm el-sheikh,34.305,27.8518,36.18,35,4.5,0,EG,1689686401
akureyri,-18.0878,65.6835,9.96,71,5.14,100,IS,1689686134
afaahiti,-149.2833,-17.75,23.93,69,5.32,5,PF,1689686419
mersa matruh,27.2453,31.3525,30.76,49,6.14,0,EG,1689686420
yellowknife,-114.3525,62.456,16.29,67,2.57,100,CA,1689686420
khandyga,135.6,62.6667,17.52,94,2.33,62,RU,1689686421
adamstown,-130.1015,-25.066,21.01,77,2.69,99,PN,1689686421
hailar,119.7,49.2,22.26,71,4.57,4,CN,1689686422
margaret river,115.0667,-33.95,14.27,68,7.89,100,AU,1689686422
ushuaia,-68.3,-54.8,2.81,65,2.57,40,AR,1689686232
ujae,165.7642,8.9322,28.53,77,6.28,79,MH,1689686424
muravlenko,74.523,63.7898,25.26,42,3.44,93,RU,1689686424
hermanus,19.2345,-34.4187,17.11,82,9.84,86,ZA,1689686310
ilulissat,-51.1,69.2167,7.01,93,3.09,75,GL,1689686426
minas de marcona,-75.1103,-15.2119,12.45,81,4.2,38,PE,1689686427
bilibino,166.4372,68.0546,13.49,83,0.44,21,RU,1689686428
al ghayzah,52.176,16.2079,28.28,77,5.42,26,YE,1689686428
karratha,116.8463,-20.7377,21.41,38,2.87,29,AU,1689686429
arnprior,-76.3494,45.4334,20.98,66,1.27,100,CA,1689686429
ancud,-73.8203,-41.8697,3.68,81,2.64,100,CL,1689686430
georgetown,100.3354,5.4112,29.97,74,2.06,20,MY,1689686309
vostochnyy,37.8667,55.8167,22.86,46,4.15,100,RU,1689686431
sesheke,24.2968,-17.4759,27.27,18,2.22,0,ZM,1689686431
kyren,102.1408,51.6828,16.0,84,1.66,51,RU,1689686432
san fernando de monte cristi,-71.65,19.8667,29.22,66,6.08,92,DO,1689686432
baruun-urt,113.2792,46.6806,22.07,58,3.21,34,MN,1689686433
ribeira grande,-28.7,38.5167,22.22,68,2.68,20,PT,1689686433
tazacorte,-17.9293,28.629,24.53,69,4.63,75,ES,1689686406
namibe,12.1522,-15.1961,26.32,43,4.26,0,AO,1689686434
korla,86.1469,41.7597,35.45,17,3.26,3,CN,1689686434
papatowai,169.4708,-46.5619,10.78,65,5.74,39,NZ,1689686435
horta,-28.6333,38.5333,21.68,74,2.68,20,PT,1689686435
blackmans bay,147.3167,-43.0167,6.49,73,8.03,41,AU,1689686436
wailua homesteads,-159.378,22.0669,22.95,90,6.69,100,US,1689686436
invercargill,168.35,-46.4,7.89,81,3.37,29,NZ,1689686437
rayon,-99.5836,19.1444,9.06,90,1.4,100,MX,1689686437
praia da vitoria,-27.0667,38.7333,23.14,64,0.98,40,PT,1689686438
mary,62.5,37.0,37.29,20,7.96,5,TM,1689686032
iqaluit,-68.5145,63.7506,5.85,100,2.57,100,CA,1689686439
puerto ayora,-90.3518,-0.7393,25.31,94,3.13,92,EC,1689686439
magdagachi,125.8,53.45,21.3,54,2.11,18,RU,1689686440
acapulco de juarez,-99.8901,16.8634,26.9,78,2.57,75,MX,1689686440
queenstown,26.8753,-31.8976,22.2,19,12.0,0,ZA,1689686441
tomatlan,-105.25,19.9333,24.85,94,1.76,100,MX,1689686441
fale old settlement,-171.2468,-9.3852,27.75,79,3.6,100,TK,1689686442
princeville,-61.2985,45.7668,23.28,93,4.12,100,CA,1689686442
banda aceh,95.3222,5.5577,27.61,77,6.76,100,ID,1689686442
celestun,-90.4,20.8667,26.62,83,3.57,9,MX,1689686443
tongliao,122.2653,43.6125,24.76,68,4.41,6,CN,1689686242
opuwo,13.84,-18.0607,25.38,11,5.11,0,NA,1689686444
veraval,70.3667,20.9,28.12,83,8.16,100,IN,1689686444
new norfolk,147.0587,-42.7826,7.09,73,4.13,70,AU,1689686445
thompson,-97.8558,55.7435,11.09,100,0.0,20,CA,1689686446
turpan,89.1667,42.9333,39.81,15,8.2,100,CN,1689686446
bikenibeu village,173.1241,1.3673,26.98,89,0.51,75,KI,1689686447
hilo,-155.09,19.7297,23.92,84,2.57,100,US,1689686447
kerikeri,173.9474,-35.2268,9.29,95,1.51,13,NZ,1689686448
manaure,-72.4445,11.7751,28.9,70,7.44,99,CO,1689686448
ust-nera,143.2,64.5667,15.37,46,2.17,13,RU,1689686449
gamba,10.0,-2.65,25.65,71,4.28,68,GA,1689686449
hamilton,-84.5333,39.1834,19.81,93,3.09,75,US,1689686450
yoloten,62.3597,37.2989,36.8,21,8.46,76,TM,1689686450
sur,59.5289,22.5667,37.63,42,1.37,95,OM,1689686451
fortuna,-124.1573,40.5982,13.44,94,0.0,100,US,1689686452
kokopo,152.2633,-4.352,25.0,86,3.03,99,PG,1689686452
mugia,-9.2179,43.1041,25.51,76,7.27,23,ES,1689686453
la'ie,-157.9253,21.6477,24.97,82,5.81,66,US,1689686453
san antonio de pale,5.6325,-1.4014,23.43,83,4.16,11,GQ,1689686454
muleba,31.6544,-1.8397,24.97,40,2.71,5,TZ,1689686454
east london,27.9116,-33.0153,22.52,49,3.09,0,ZA,1689686455
uige,15.0613,-7.6087,35.53,14,1.63,12,AO,1689686455
bashmakovo,43.0342,53.2133,23.99,63,3.64,97,RU,1689686456
avrille,-0.5833,47.5,27.99,22,3.15,32,FR,1689686305
esqueda,-109.5833,30.7167,26.84,50,0.79,100,MX,1689686457
olonkinbyen,-8.7187,70.9221,4.48,90,8.7,45,SJ,1689686457
egilsstadir,-14.3948,65.2653,10.95,66,7.2,75,IS,1689686458
madinat ash shamal,51.2009,26.1293,36.32,51,3.86,0,QA,1689686458
faro,-7.9322,37.0194,26.88,54,3.6,0,PT,1689686457
saint joseph,-94.8466,39.7686,18.35,91,3.09,0,US,1689686459
carauari,-66.8958,-4.8828,25.99,83,0.56,3,BR,1689686460
iskateley,53.1512,67.6803,23.13,56,6.44,97,RU,1689686460
anar darah,61.654,32.7587,39.97,11,12.98,0,AF,1689686461
barcelona,2.159,41.3888,33.14,63,7.2,0,ES,1689686247
kuqa,82.9364,41.7278,37.28,13,3.1,4,CN,1689686462
tejen,60.5054,37.3834,34.83,26,5.23,48,TM,1689686463
solnechnyy,136.6319,50.7214,19.96,75,2.03,0,RU,1689686464
kasane,25.15,-17.8167,26.05,22,3.6,0,BW,1689686464
baise city,106.6133,23.8997,22.79,98,2.01,100,CN,1689686465
alto araguaia,-53.2153,-17.3147,27.54,31,2.47,5,BR,1689686465
constantia,28.65,44.1833,34.38,57,8.91,50,RO,1689686466
tqvarch'eli,41.6801,42.8404,23.86,68,2.6,53,GE,1689686467
santana,-51.1817,-0.0583,29.1,70,2.57,75,BR,1689686467
tolanaro,46.9987,-25.0319,25.04,73,6.69,20,MG,1689686468
isiro,27.616,2.7739,32.17,40,0.26,54,CD,1689686468
guerrero negro,-114.0611,27.9769,19.23,89,3.47,0,MX,1689686469
nadym,72.5167,65.5333,23.85,41,4.99,83,RU,1689686470
fisterra,-9.2629,42.9049,25.42,79,9.49,5,ES,1689686470
serdar,56.2757,38.9764,32.45,29,3.71,4,TM,1689686471
rio grande,-52.0986,-32.035,6.64,73,5.03,100,BR,1689686471
sungai raya,108.9,0.7,26.56,85,1.73,22,ID,1689686472
aguas vermelhas,-41.46,-15.7472,24.75,40,2.65,6,BR,1689686472
tessaoua,7.9874,13.7574,36.95,31,4.47,100,NE,1689686473
neryungri,124.6491,56.6709,16.3,96,1.24,100,RU,1689686474
columbia falls,-114.1815,48.3725,11.7,63,2.57,0,US,1689686474
petropavlovsk-kamchatsky,158.6483,53.0452,12.33,88,2.0,0,RU,1689686475
zapolyarnyy,30.8136,69.4154,18.6,61,4.21,100,RU,1689686475
alofi,-169.9187,-19.0595,20.94,83,5.66,100,NU,1689686476
mahina,-149.489,-17.5065,24.87,65,4.12,20,PF,1689686476
flagstaff,-111.6513,35.1981,17.0,53,0.0,0,US,1689686477
tual,132.75,-5.6667,26.69,84,9.21,2,ID,1689686478
kitimat,-128.6534,54.0524,14.61,67,0.45,100,CA,1689686478
maubin,95.65,16.7333,26.74,83,4.12,100,MM,1689686185
port mathurin,63.4167,-19.6833,23.27,83,12.36,100,MU,1689686479
portland,-122.6762,45.5234,12.89,85,3.09,0,US,1689686077
kingscliff,153.5667,-28.2667,14.89,94,0.0,100,AU,1689686480
volzhskiy,44.7797,48.7858,29.73,40,4.73,74,RU,1689686365
punta arenas,-70.9167,-53.15,3.06,81,5.14,0,CL,1689686481
garoowe,48.4845,8.4054,32.6,32,12.76,94,SO,1689686482
porto novo,2.6036,6.4965,29.9,66,5.43,63,BJ,1689686482
arraial do cabo,-42.0278,-22.9661,23.92,73,2.06,40,BR,1689686483
sao jose da coroa grande,-35.1478,-8.8978,26.42,71,4.9,16,BR,1689686483
bethel,-73.414,41.3712,25.17,81,2.06,0,US,1689686484
nar'yan-mar,53.087,67.6713,22.93,58,6.35,98,RU,1689686397
mejit,170.8646,10.2753,27.99,81,6.21,72,MH,1689686485
chinde,88.0763,26.8418,21.2,82,1.15,63,NP,1689686486
tuy hoa,109.3,13.0833,28.5,72,2.69,100,VN,1689686486
juhaynah,31.4976,26.6732,43.18,11,6.26,0,EG,1689686487
indre arna,5.4764,60.4247,14.63,1,2.61,99,NO,1689686487
bilajer,50.0378,40.5681,26.9,61,2.06,20,AZ,1689686488
anadyr,177.4833,64.75,17.28,72,5.0,0,RU,1689686488
coquimbo,-71.3436,-29.9533,13.85,71,3.09,0,CL,1689686489
george town,100.3354,5.4112,29.97,74,2.06,20,MY,1689686309
hawaiian paradise park,-154.9731,19.5933,23.82,86,2.57,100,US,1689686490
cabo san lucas,-109.9124,22.8909,30.67,72,0.45,73,MX,1689686256
wynyard,145.7167,-41.0,7.81,72,5.27,11,AU,1689686491
mitu,-70.1733,1.1983,24.03,92,0.85,43,CO,1689686491
buka,69.1986,40.8108,41.33,10,7.32,0,UZ,1689686492
dudinka,86.1778,69.4058,14.25,74,6.86,100,RU,1689686492
tadine,167.8833,-21.55,20.82,73,7.63,82,NC,1689686493
luderitz,15.1594,-26.6481,20.37,57,9.7,0,NA,1689686493
sisimiut,-53.6735,66.9395,8.57,90,1.61,100,GL,1689686494
hualien city,121.6044,23.9769,27.44,92,2.88,100,TW,1689686494
singkil,111.4161,-7.9855,22.24,90,3.08,40,ID,1689686495
ceeldheer,47.1806,3.8488,28.3,61,11.97,35,SO,1689686495
lamu,40.902,-2.2717,28.12,72,7.61,12,KE,1689686418
san jose,-121.895,37.3394,15.34,78,17.43,20,US,1689686496
luanda,13.2343,-8.8368,24.0,69,4.12,75,AO,1689686418
chiba,140.1233,35.6047,26.82,71,2.0,99,JP,1689686497
djougou,1.666,9.7085,32.64,50,1.53,28,BJ,1689686498
shenjiamen,122.298,29.9576,27.43,87,1.62,95,CN,1689686498
nassau,-73.5829,40.7507,26.76,80,4.12,75,US,1689686499
taghazout,-9.7112,30.5426,31.43,62,2.66,25,MA,1689686499
edinboro,-80.1317,41.8742,19.76,93,0.45,3,US,1689686500
sarmiento,-69.07,-45.5882,-5.8,89,1.1,13,AR,1689686501
luganville,167.1667,-15.5333,24.57,87,6.8,98,VU,1689686501
calderitas,-88.25,18.55,26.06,89,0.0,75,MX,1689686502
mount pearl,-52.7813,47.5166,23.47,87,7.72,100,CA,1689686502
burgos,-3.7079,42.3394,32.23,22,7.2,0,ES,1689685867
smithers,-127.1743,54.7804,13.18,76,1.03,75,CA,1689686503
isangel,169.2667,-19.55,22.28,79,6.97,100,VU,1689686503
enewetak,162.3373,11.3474,28.63,79,6.76,50,MH,1689686504
tiksi,128.8694,71.6872,6.91,78,4.84,100,RU,1689686504
broome,-75.833,42.2506,20.89,92,3.6,75,US,1689686505
thunder bay,-89.3168,48.4001,14.95,82,3.6,75,CA,1689686505
klyuchi,79.1667,52.2667,29.09,29,5.04,45,RU,1689686506
hit,42.8251,33.6416,43.18,5,6.8,0,IQ,1689686506
port douglas,145.4667,-16.4833,21.7,82,3.22,31,AU,1689686507
lihue,-159.3672,21.9789,25.61,90,6.69,100,US,1689686507
vilyuchinsk,158.4028,52.9306,13.15,91,4.2,20,RU,1689686508
katsuura,140.3,35.1333,25.64,89,3.67,100,JP,1689686509
jamestown,-79.2353,42.097,20.37,93,0.45,42,US,1689686509
polyarnyy,33.4478,69.1989,18.47,61,2.61,100,RU,1689686510
djibo,-1.6306,14.1022,36.5,33,2.9,73,BF,1689686510
tadmur,38.2805,34.5608,39.58,8,6.73,0,SY,1689686395
fort bragg,-79.006,35.139,25.37,74,0.89,0,US,1689686511
mzuzu,34.0207,-11.4656,21.4,40,3.19,11,MW,1689686512
jesup,-81.8854,31.6074,25.38,88,0.0,0,US,1689686512
takayama,137.25,36.1333,20.73,96,1.24,100,JP,1689686513
lodja,23.4333,-3.4833,39.32,13,1.58,54,CD,1689686513
zambezi,23.1047,-13.5432,29.45,17,1.64,1,ZM,1689686514
wattegama,81.4808,6.7989,29.34,52,5.71,12,LK,1689686514
cidreira,-50.2056,-30.1811,11.02,66,2.94,88,BR,1689686515
el haouaria,11.0144,37.05,39.01,54,5.1,0,TN,1689686515
newman,-121.0208,37.3138,21.1,77,2.03,0,US,1689686516
ta`u,-169.5144,-14.2336,26.5,80,3.29,39,AS,1689686516
canutama,-64.3831,-6.5339,29.2,58,1.06,0,BR,1689686517
nova vicosa,-39.3719,-17.8919,25.94,67,4.48,6,BR,1689686517
dumai,101.45,1.6833,24.5,97,1.25,100,ID,1689686518
sabzevar,57.6819,36.2126,36.6,28,6.17,40,IR,1689686518
talcahuano,-73.1167,-36.7167,7.82,76,4.12,0,CL,1689686222
atafu village,-172.5159,-8.5421,27.79,81,3.71,81,TK,1689686519
bamboo flat,92.7167,11.7,29.05,79,5.66,75,IN,1689686519
chaltyr,39.4823,47.2848,30.19,36,3.58,100,RU,1689686520
takoradi,-1.7554,4.8845,26.02,84,5.5,70,GH,1689686387
la passe,-0.8967,45.5549,32.13,49,6.76,4,FR,1689686521
nemuro,145.575,43.3236,13.35,93,3.58,100,JP,1689686521
marat,45.4615,25.0701,43.75,5,6.09,0,SA,1689686522
kupang,123.5833,-10.1667,24.76,73,6.12,55,ID,1689686523
nguigmi,13.1092,14.2495,37.36,30,6.17,94,NE,1689686523
gadzhiyevo,33.3362,69.2551,18.74,59,2.75,100,RU,1689686524
howard springs,131.047,-12.497,23.95,66,1.96,32,AU,1689686524
lebu,-73.65,-37.6167,8.7,64,3.22,100,CL,1689686525
howrah,88.3103,22.5892,30.0,84,2.06,75,IN,1689686525
altinopolis,-47.3739,-21.0256,21.64,38,0.97,15,BR,1689686526
lashkar gah,64.3716,31.5938,43.79,5,3.35,0,AF,1689686404
cascais,-9.4215,38.6979,26.68,54,7.72,20,PT,1689686527
mana,-53.7767,5.6592,27.88,74,3.21,6,GF,1689686527
tregunc,-3.85,47.85,21.86,57,7.09,0,FR,1689686528
isafjordur,-23.124,66.0755,9.02,76,3.09,0,IS,1689686528
kismayo,42.5454,-0.3582,26.96,70,8.54,12,SO,1689686523
grootfontein,18.1167,-19.5667,23.76,16,3.09,0,NA,1689686529
carinhanha,-43.765,-14.3047,27.68,35,3.4,6,BR,1689686530
midoun,10.9923,33.8081,35.92,42,2.8,0,TN,1689686530
shakawe,21.85,-18.3667,26.71,13,2.57,0,BW,1689686531
giyani,30.7187,-23.3025,25.93,18,1.73,0,ZA,1689686532
poltavka,71.7632,54.3663,30.11,37,8.27,100,RU,1689686533
port saint john's,29.5448,-31.6229,25.62,44,3.68,0,ZA,1689686534
flin flon,-101.865,54.7682,15.91,82,2.57,100,CA,1689686534
selfoss,-20.9971,63.9331,17.8,50,3.07,2,IS,1689686535
lompoc,-120.4579,34.6391,13.91,97,0.0,100,US,1689686535
soe,124.284,-9.8607,16.45,90,1.83,81,ID,1689686536
nyagan,65.3936,62.1406,27.25,39,3.26,65,RU,1689686536
okhotsk,143.3,59.3833,15.04,69,4.07,8,RU,1689686537
orsa,30.4053,54.5153,16.94,80,7.58,100,BY,1689686537
itaituba,-55.9836,-4.2761,30.09,70,0.0,0,BR,1689686538
tura,90.2201,25.5198,25.88,93,1.17,90,IN,1689686538
abbeville,1.8333,50.1,27.41,41,0.44,100,FR,1689686539
kiunga,141.2906,-6.1219,22.44,98,1.41,100,PG,1689686539
crane,-102.3501,31.3974,25.73,51,7.1,0,US,1689686540
khovd,91.6419,48.0056,24.91,26,2.07,75,MN,1689686540
anisoc,10.7689,1.8658,30.39,58,0.24,82,GQ,1689686541
sompeta,84.6,18.9333,25.99,93,5.63,100,IN,1689686541
bonthe,-12.505,7.5264,26.71,81,3.76,100,SL,1689686542
kapa'a,-159.319,22.0752,23.83,88,6.69,100,US,1689686542
kingston,-76.7936,17.997,27.53,83,2.57,40,JM,1689686448
anupgarh,73.2086,29.1911,40.74,30,5.25,100,IN,1689686543
yemva,50.8594,62.59,25.08,45,2.22,51,RU,1689686544
tucupita,-62.051,9.0622,30.33,60,2.48,8,VE,1689686544
xilin hot,116.0333,43.9667,23.54,42,2.93,86,CN,1689686545
sinop,34.8709,41.7711,23.24,46,3.75,0,TR,1689686545
